zpid,address,city,state,zip,latitude,longitude,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2093369526,4790 S Saxony E Cir,Holladay,UT,84117,40.6655,-111.854111,279000,2384.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/4790-S-Saxony-E-Cir-Holladay-UT-84117/2093369526_zpid/
97751415,1761 E 4620 S,Salt Lake City,UT,84117,40.67094,-111.841926,435000,2300.0,4.0,4.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/1761-E-4620-S-Salt-Lake-City-UT-84117/97751415_zpid/
53164848,2487 E Haven Ln,Salt Lake City,UT,84117,40.656408,-111.819713,3695000,5483.0,5.0,3.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2487-E-Haven-Ln-Salt-Lake-City-UT-84117/53164848_zpid/
12852327,2110 E Kline Ave,Salt Lake City,UT,84117,40.669822,-111.830695,549900,3308.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2110-E-Kline-Ave-Salt-Lake-City-UT-84117/12852327_zpid/
2093666887,4703 S Wallace Ln,Holladay,UT,84117,40.667469,-111.806784,470000,2900.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4703-S-Wallace-Ln-Holladay-UT-84117/2093666887_zpid/
12860838,4803 S Memory Ln,Salt Lake City,UT,84117,40.665166,-111.834088,425000,2288.0,4.0,2.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4803-S-Memory-Ln-Salt-Lake-City-UT-84117/12860838_zpid/
12862799,2411 E Walker Ln,Holladay,UT,84117,40.652751,-111.82151,5850000,8800.0,4.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2411-E-Walker-Ln-Holladay-UT-84117/12862799_zpid/
2093286710,5538 S Brockway Dr,Murray,UT,84117,40.650581,-111.856444,375000,2998.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5538-S-Brockway-Dr-Murray-UT-84117/2093286710_zpid/
12862220,2998 Kohala Dr,Salt Lake City,UT,84117,40.659458,-111.807892,549900,3354.0,4.0,3.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/2998-Kohala-Dr-Salt-Lake-City-UT-84117/12862220_zpid/
2105329008,2765 E Blue Spruce Dr,Holladay,UT,84117,40.656128,-111.81324,699000,6292.0,7.0,8.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2765-E-Blue-Spruce-Dr-Holladay-UT-84117/2105329008_zpid/
2113489540,1537 E Spring Ln,Holladay,UT,84117,40.65799,-111.848137,549900,5147.0,6.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1537-E-Spring-Ln-Holladay-UT-84117/2113489540_zpid/
2093845293,1805 E Moor Dale Ln,Holladay,UT,84117,40.65988,-111.840313,397000,1449.0,3.0,1.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1805-E-Moor-Dale-Ln-Holladay-UT-84117/2093845293_zpid/
12861401,5361 S 2110 E,Salt Lake City,UT,84117,40.653569,-111.830156,1600000,8088.0,7.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5361-S-2110-E-Salt-Lake-City-UT-84117/12861401_zpid/
2092930938,1396 E Colony S Dr,Holladay,UT,84117,40.663689,-111.851561,420000,2660.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1396-E-Colony-S-Dr-Holladay-UT-84117/2092930938_zpid/
12859882,1348 E 5360 S,Salt Lake City,UT,84117,40.653622,-111.853034,389000,2240.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1348-E-5360-S-Salt-Lake-City-UT-84117/12859882_zpid/
2093643842,2998 E Kohala S Dr,Holladay,UT,84117,40.659457,-111.807891,549900,3354.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2998-E-Kohala-S-Dr-Holladay-UT-84117/2093643842_zpid/
12861651,2819 E Sleepy Hollow Dr,Salt Lake City,UT,84117,40.663732,-111.811671,650000,4258.0,5.0,2.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2819-E-Sleepy-Hollow-Dr-Salt-Lake-City-UT-84117/12861651_zpid/
53802009,1803 E Cottonwood Glen Ct,Salt Lake City,UT,84117,40.672256,-111.84064,530000,3610.0,5.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1803-E-Cottonwood-Glen-Ct-Salt-Lake-City-UT-84117/53802009_zpid/
2092993424,1906 E Lakewood S Dr,Holladay,UT,84117,40.651767,-111.837298,898000,5766.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1906-E-Lakewood-S-Dr-Holladay-UT-84117/2092993424_zpid/
12852357,4641 S Nathan Cir,Salt Lake City,UT,84117,40.669628,-111.828074,525000,1531.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4641-S-Nathan-Cir-Salt-Lake-City-UT-84117/12852357_zpid/
2093403616,2284 E Arbor Ln,Holladay,UT,84117,40.664656,-111.825072,849900,4662.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2284-E-Arbor-Ln-Holladay-UT-84117/2093403616_zpid/
2106646425,5175 S Wesley Rd,Salt Lake City,UT,84117,40.657307,-111.858879,370000,2790.0,5.0,2.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5175-S-Wesley-Rd-Salt-Lake-City-UT-84117/2106646425_zpid/
69225477,1356 E 4500 S,Salt Lake City,UT,84117,40.673827,-111.852669,379000,2205.0,3.0,3.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/1356-E-4500-S-Salt-Lake-City-UT-84117/69225477_zpid/
12861386,2040 E 5290 S,Salt Lake City,UT,84117,40.654297,-111.832921,800000,3700.0,4.0,1.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/2040-E-5290-S-Salt-Lake-City-UT-84117/12861386_zpid/
2102955122,5058 S Oban Ct,Holladay,UT,84117,40.6571,-111.8499,395000,2487.0,3.0,3.5,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/5058-S-Oban-Ct-Holladay-UT-84117/2102955122_zpid/
2093050020,5168 S Cottonwood Ln,Holladay,UT,84117,40.657235,-111.825427,1975000,5943.0,6.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5168-S-Cottonwood-Ln-Holladay-UT-84117/2093050020_zpid/
2113555623,5021 S Memory Ln,Holladay,UT,84117,40.6609,-111.82876,1049999,7077.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5021-S-Memory-Ln-Holladay-UT-84117/2113555623_zpid/
2116467484,2680 E Hillsden Dr,Holladay,UT,84117,40.652786,-111.816055,1350000,4276.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2680-E-Hillsden-Dr-Holladay-UT-84117/2116467484_zpid/
2116274791,2310 E Walker Ln,Holladay,UT,84117,40.648495,-111.824348,3950000,7048.0,6.0,3.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2310-E-Walker-Ln-Holladay-UT-84117/2116274791_zpid/
2097687059,2998 E Kohala Dr,Holladay,UT,84117,40.659532,-111.808038,549900,3354.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2998-E-Kohala-Dr-Holladay-UT-84117/2097687059_zpid/
2104060855,2644 E Kentucky Ave,Holladay,UT,84117,40.668396,-111.816696,4450000,7685.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2644-E-Kentucky-Ave-Holladay-UT-84117/2104060855_zpid/
12862448,5425 S 2900 E,Holladay,UT,84117,40.652809,-111.809698,1150000,2730.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5425-S-2900-E-Holladay-UT-84117/12862448_zpid/
2099028937,2445 E Kentucky Ave,Holladay,UT,84117,40.66598,-111.8187,895000,2738.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2445-E-Kentucky-Ave-Holladay-UT-84117/2099028937_zpid/
12863806,5477 S Cottonwood Club Dr,Salt Lake City,UT,84117,40.651503,-111.83931,1385000,5407.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5477-S-Cottonwood-Club-Dr-Salt-Lake-City-UT-84117/12863806_zpid/
2092928478,1858 E Cresthill Dr S,Holladay,UT,84117,40.670053,-111.838621,455000,2544.0,6.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1858-E-Cresthill-Dr-S-Holladay-UT-84117/2092928478_zpid/
2098840880,5500 S Wasatch E,Holladay,UT,84117,40.66321,-111.84415,1050000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5500-S-Wasatch-E-Holladay-UT-84117/2098840880_zpid/
12861377,2036 E Normandywoods Ct,Salt Lake City,UT,84117,40.656274,-111.833078,1850000,7977.0,5.0,7.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/2036-E-Normandywoods-Ct-Salt-Lake-City-UT-84117/12861377_zpid/
12859258,4873 S Damon Way,Salt Lake City,UT,84117,40.663392,-111.846198,769000,5200.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4873-S-Damon-Way-Salt-Lake-City-UT-84117/12859258_zpid/
2095947380,2222 E Walker S Ln,Salt Lake City,UT,84117,40.65094,-111.8279,995000,2808.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2222-E-Walker-S-Ln-Salt-Lake-City-UT-84117/2095947380_zpid/
12852436,2451 E Murray Holladay Rd,Salt Lake City,UT,84117,40.669686,-111.821167,750000,2442.0,5.0,3.0,NA,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/2451-E-Murray-Holladay-Rd-Salt-Lake-City-UT-84117/12852436_zpid/
12858979,5381 S York St,Salt Lake City,UT,84117,40.653433,-111.855021,475000,3052.0,4.0,4.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/5381-S-York-St-Salt-Lake-City-UT-84117/12858979_zpid/
2099992449,1938 E Vintage Woods Ct,Salt Lake City,UT,84117,40.658966,-111.835472,829000,5244.0,6.0,4.75,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1938-E-Vintage-Woods-Ct-Salt-Lake-City-UT-84117/2099992449_zpid/
12852692,2539 Kentucky Ave,Salt Lake City,UT,84117,40.668697,-111.819327,949900,4859.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2539-Kentucky-Ave-Salt-Lake-City-UT-84117/12852692_zpid/
154045071,Southmoor Dr,Salt Lake City,UT,84117,40.658684,-111.84144,NA,1904.0,3.0,1.5,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154045071_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
241551050,Murray Holladay Rd APT 202,Salt Lake City,UT,84117,40.666146,-111.825325,NA,476.0,1.0,0.75,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241551050_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
