zpid,address,city,state,zip,latitude,longitude,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2092636314,44 W 300 S APT 1703S,Salt Lake City,UT,84101,40.763325,-111.892184,449900,1510.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/44-W-300-S-APT-1703S-Salt-Lake-City-UT-84101/2092636314_zpid/
12735353,327 W 200 S APT 301,Salt Lake City,UT,84101,40.76477,-111.900641,759500,1900.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/327-W-200-S-APT-301-Salt-Lake-City-UT-84101/12735353_zpid/
61167277,346 W Pierpont Ave # W115,Salt Lake City,UT,84101,40.764048,-111.90178,300000,1170.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/346-W-Pierpont-Ave-W115-Salt-Lake-City-UT-84101/61167277_zpid/
83829856,328 W 200 S APT 406,Salt Lake City,UT,84101,40.765475,-111.901014,299900,878.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/328-W-200-S-APT-406-Salt-Lake-City-UT-84101/83829856_zpid/
117876609,99 W South Temple UNIT 2406,Salt Lake City,UT,84101,40.768945,-111.893427,1995000,2296.0,3.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-W-South-Temple-UNIT-2406-Salt-Lake-City-UT-84101/117876609_zpid/
118554475,99 W South Temple UNIT 1604,Salt Lake City,UT,84101,40.768925,-111.89354,765000,1536.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-W-South-Temple-UNIT-1604-Salt-Lake-City-UT-84101/118554475_zpid/
12739976,1085 S 200 W,Salt Lake City,UT,84101,40.745462,-111.896515,175000,1012.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1085-S-200-W-Salt-Lake-City-UT-84101/12739976_zpid/
118556312,99 W South Temple UNIT 2003,Salt Lake City,UT,84101,40.769115,-111.893428,2770000,3093.0,4.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/99-W-South-Temple-UNIT-2003-Salt-Lake-City-UT-84101/118556312_zpid/
2093839957,155 W Lucy Ave,Salt Lake City,UT,84101,40.742601,-111.895626,495000,2195.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/155-W-Lucy-Ave-Salt-Lake-City-UT-84101/2093839957_zpid/
2096936670,159 W 300 S APT 101,Salt Lake City,UT,84101,40.765866,-111.899638,339900,857.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/159-W-300-S-APT-101-Salt-Lake-City-UT-84101/2096936670_zpid/
